Orthogroup	Acanthamoeba_castellani.NEFF	Babesia_bovis.T2Bo	Cryptosporidium_parvum	Eimeria_tenella	Entamoeba_histolytica.HM1IMSS	Giardia_intestinalis.AWB	Leishmania_donovani.BPK282A1	Leishmania_major.Friedlin	Maranthos_nigrum.EAF	Parvilucifera_sinerae.EAF	Perkinsus_marinus.high_quality	Plasmodium_falciparum	Sarcocystis_neurona.SN3	Theileria_annulata.Ankara	Toxoplasma_gondii	Trichomonas_vaginalis.G3	Trypanosoma_brucei.TREU927	Trypanosoma_cruzi.CLBElike
OG0023856	XP_004333029.1																	
OG0023857	XP_004333030.1																	
OG0023858	XP_004333033.1																	
OG0023859	XP_004333036.1																	
OG0023860	XP_004333039.1																	
OG0023861	XP_004333040.1																	
OG0023862	XP_004333045.1																	
OG0023863	XP_004333047.1																	
OG0023864	XP_004333049.1																	
OG0023865	XP_004333055.1																	
OG0023866	XP_004333056.1																	
OG0023867	XP_004333057.1																	
OG0023868	XP_004333060.1																	
OG0023869	XP_004333066.1																	
OG0023870	XP_004333071.1																	
OG0023871	XP_004333072.1																	
OG0023872	XP_004333074.1																	
OG0023873	XP_004333081.1																	
OG0023874	XP_004333085.1																	
OG0023875	XP_004333086.1																	
OG0023876	XP_004333092.1																	
OG0023877	XP_004333096.1																	
OG0023878	XP_004333101.1																	
OG0023879	XP_004333105.1																	
OG0023880	XP_004333123.1																	
OG0023881	XP_004333128.1																	
OG0023882	XP_004333136.1																	
OG0023883	XP_004333137.1																	
OG0023884	XP_004333138.1																	
OG0023885	XP_004333140.1																	
OG0023886	XP_004333141.1																	
OG0023887	XP_004333156.1																	
OG0023888	XP_004333184.1																	
OG0023889	XP_004333198.1																	
OG0023890	XP_004333202.1																	
OG0023891	XP_004333207.1																	
OG0023892	XP_004333209.1																	
OG0023893	XP_004333218.1																	
OG0023894	XP_004333222.1																	
OG0023895	XP_004333229.1																	
OG0023896	XP_004333237.1																	
OG0023897	XP_004333238.1																	
OG0023898	XP_004333239.1																	
OG0023899	XP_004333242.1																	
OG0023900	XP_004333243.1																	
OG0023901	XP_004333251.1																	
OG0023902	XP_004333252.1																	
OG0023903	XP_004333253.1																	
OG0023904	XP_004333256.1																	
OG0023905	XP_004333259.1																	
OG0023906	XP_004333266.1																	
OG0023907	XP_004333272.1																	
OG0023908	XP_004333275.1																	
OG0023909	XP_004333280.1																	
OG0023910	XP_004333283.1																	
OG0023911	XP_004333293.1																	
OG0023912	XP_004333295.1																	
OG0023913	XP_004333297.1																	
OG0023914	XP_004333303.1																	
OG0023915	XP_004333312.1																	
OG0023916	XP_004333321.1																	
OG0023917	XP_004333322.1																	
OG0023918	XP_004333325.1																	
OG0023919	XP_004333328.1																	
OG0023920	XP_004333330.1																	
OG0023921	XP_004333334.1																	
OG0023922	XP_004333340.1																	
OG0023923	XP_004333342.1																	
OG0023924	XP_004333349.1																	
OG0023925	XP_004333354.1																	
OG0023926	XP_004333356.1																	
OG0023927	XP_004333364.1																	
OG0023928	XP_004333365.1																	
OG0023929	XP_004333366.1																	
OG0023930	XP_004333369.1																	
OG0023931	XP_004333370.1																	
OG0023932	XP_004333377.1																	
OG0023933	XP_004333389.1																	
OG0023934	XP_004333390.1																	
OG0023935	XP_004333391.1																	
OG0023936	XP_004333393.1																	
OG0023937	XP_004333394.1																	
OG0023938	XP_004333397.1																	
OG0023939	XP_004333407.1																	
OG0023940	XP_004333410.1																	
OG0023941	XP_004333411.1																	
OG0023942	XP_004333422.1																	
OG0023943	XP_004333426.1																	
OG0023944	XP_004333434.1																	
OG0023945	XP_004333436.1																	
OG0023946	XP_004333437.1																	
OG0023947	XP_004333438.1																	
OG0023948	XP_004333444.1																	
OG0023949	XP_004333447.1																	
OG0023950	XP_004333449.1																	
OG0023951	XP_004333450.1																	
OG0023952	XP_004333451.1																	
OG0023953	XP_004333452.1																	
OG0023954	XP_004333453.1																	
OG0023955	XP_004333458.1																	
OG0023956	XP_004333462.1																	
OG0023957	XP_004333471.1																	
OG0023958	XP_004333479.1																	
OG0023959	XP_004333492.1																	
OG0023960	XP_004333497.1																	
OG0023961	XP_004333503.1																	
OG0023962	XP_004333507.1																	
OG0023963	XP_004333512.1																	
OG0023964	XP_004333513.1																	
OG0023965	XP_004333517.1																	
OG0023966	XP_004333521.1																	
OG0023967	XP_004333523.1																	
OG0023968	XP_004333538.1																	
OG0023969	XP_004333556.1																	
OG0023970	XP_004333558.1																	
OG0023971	XP_004333568.1																	
OG0023972	XP_004333569.1																	
OG0023973	XP_004333596.1																	
OG0023974	XP_004333597.1																	
OG0023975	XP_004333599.1																	
OG0023976	XP_004333601.1																	
OG0023977	XP_004333605.1																	
OG0023978	XP_004333610.1																	
OG0023979	XP_004333612.1																	
OG0023980	XP_004333613.1																	
OG0023981	XP_004333618.1																	
OG0023982	XP_004333621.1																	
OG0023983	XP_004333622.1																	
OG0023984	XP_004333624.1																	
OG0023985	XP_004333627.1																	
OG0023986	XP_004333628.1																	
OG0023987	XP_004333629.1																	
OG0023988	XP_004333631.1																	
OG0023989	XP_004333632.1																	
OG0023990	XP_004333633.1																	
OG0023991	XP_004333634.1																	
OG0023992	XP_004333636.1																	
OG0023993	XP_004333638.1																	
OG0023994	XP_004333639.1																	
OG0023995	XP_004333641.1																	
OG0023996	XP_004333647.1																	
OG0023997	XP_004333648.1																	
OG0023998	XP_004333649.1																	
OG0023999	XP_004333653.1																	
OG0024000	XP_004333658.1																	
OG0024001	XP_004333661.1																	
OG0024002	XP_004333663.1																	
OG0024003	XP_004333669.1																	
OG0024004	XP_004333677.1																	
OG0024005	XP_004333682.1																	
OG0024006	XP_004333683.1																	
OG0024007	XP_004333691.1																	
OG0024008	XP_004333698.1																	
OG0024009	XP_004333707.1																	
OG0024010	XP_004333713.1																	
OG0024011	XP_004333720.1																	
OG0024012	XP_004333723.1																	
OG0024013	XP_004333735.1																	
OG0024014	XP_004333740.1																	
OG0024015	XP_004333742.1																	
OG0024016	XP_004333744.1																	
OG0024017	XP_004333747.1																	
OG0024018	XP_004333748.1																	
OG0024019	XP_004333749.1																	
OG0024020	XP_004333754.1																	
OG0024021	XP_004333757.1																	
OG0024022	XP_004333761.1																	
OG0024023	XP_004333766.1																	
OG0024024	XP_004333777.1																	
OG0024025	XP_004333778.1																	
OG0024026	XP_004333785.1																	
OG0024027	XP_004333789.1																	
OG0024028	XP_004333792.1																	
OG0024029	XP_004333798.1																	
OG0024030	XP_004333807.1																	
OG0024031	XP_004333810.1																	
OG0024032	XP_004333811.1																	
OG0024033	XP_004333818.1																	
OG0024034	XP_004333819.1																	
OG0024035	XP_004333820.1																	
OG0024036	XP_004333821.1																	
OG0024037	XP_004333822.1																	
OG0024038	XP_004333825.1																	
OG0024039	XP_004333826.1																	
OG0024040	XP_004333827.1																	
OG0024041	XP_004333828.1																	
OG0024042	XP_004333830.1																	
OG0024043	XP_004333833.1																	
OG0024044	XP_004333834.1																	
OG0024045	XP_004333835.1																	
OG0024046	XP_004333837.1																	
OG0024047	XP_004333840.1																	
OG0024048	XP_004333847.1																	
OG0024049	XP_004333848.1																	
OG0024050	XP_004333849.1																	
OG0024051	XP_004333850.1																	
OG0024052	XP_004333851.1																	
OG0024053	XP_004333853.1																	
OG0024054	XP_004333854.1																	
OG0024055	XP_004333860.1																	
OG0024056	XP_004333862.1																	
OG0024057	XP_004333863.1																	
OG0024058	XP_004333868.1																	
OG0024059	XP_004333869.1																	
OG0024060	XP_004333870.1																	
OG0024061	XP_004333877.1																	
OG0024062	XP_004333891.1																	
OG0024063	XP_004333895.1																	
OG0024064	XP_004333904.1																	
OG0024065	XP_004333913.1																	
OG0024066	XP_004333916.1																	
OG0024067	XP_004333925.1																	
OG0024068	XP_004333926.1																	
OG0024069	XP_004333930.1																	
OG0024070	XP_004333933.1																	
OG0024071	XP_004333953.1																	
OG0024072	XP_004333957.1																	
OG0024073	XP_004333963.1																	
OG0024074	XP_004333967.1																	
OG0024075	XP_004333973.1																	
OG0024076	XP_004333978.1																	
OG0024077	XP_004333980.1																	
OG0024078	XP_004333990.1																	
OG0024079	XP_004334005.1																	
OG0024080	XP_004334007.1																	
OG0024081	XP_004334008.1																	
OG0024082	XP_004334017.1																	
OG0024083	XP_004334026.1																	
OG0024084	XP_004334032.1																	
OG0024085	XP_004334057.1																	
OG0024086	XP_004334067.1																	
OG0024087	XP_004334072.1																	
OG0024088	XP_004334073.1																	
OG0024089	XP_004334079.1																	
OG0024090	XP_004334081.1																	
OG0024091	XP_004334086.1																	
OG0024092	XP_004334087.1																	
OG0024093	XP_004334089.1																	
OG0024094	XP_004334090.1																	
OG0024095	XP_004334091.1																	
OG0024096	XP_004334093.1																	
OG0024097	XP_004334095.1																	
OG0024098	XP_004334096.1																	
OG0024099	XP_004334097.1																	
OG0024100	XP_004334114.1																	
OG0024101	XP_004334122.1																	
OG0024102	XP_004334125.1																	
OG0024103	XP_004334127.1																	
OG0024104	XP_004334137.1																	
OG0024105	XP_004334144.1																	
OG0024106	XP_004334152.1																	
OG0024107	XP_004334159.1																	
OG0024108	XP_004334162.1																	
OG0024109	XP_004334164.1																	
OG0024110	XP_004334173.1																	
OG0024111	XP_004334186.1																	
OG0024112	XP_004334191.1																	
OG0024113	XP_004334204.1																	
OG0024114	XP_004334206.1																	
OG0024115	XP_004334208.1																	
OG0024116	XP_004334209.1																	
OG0024117	XP_004334212.1																	
OG0024118	XP_004334216.1																	
OG0024119	XP_004334225.1																	
OG0024120	XP_004334235.1																	
OG0024121	XP_004334237.1																	
OG0024122	XP_004334244.1																	
OG0024123	XP_004334251.1																	
OG0024124	XP_004334254.1																	
OG0024125	XP_004334261.1																	
OG0024126	XP_004334265.1																	
OG0024127	XP_004334272.1																	
OG0024128	XP_004334274.1																	
OG0024129	XP_004334288.1																	
OG0024130	XP_004334292.1																	
OG0024131	XP_004334293.1																	
OG0024132	XP_004334313.1																	
OG0024133	XP_004334315.1																	
OG0024134	XP_004334325.1																	
OG0024135	XP_004334333.1																	
OG0024136	XP_004334336.1																	
OG0024137	XP_004334338.1																	
OG0024138	XP_004334339.1																	
OG0024139	XP_004334343.1																	
OG0024140	XP_004334347.1																	
OG0024141	XP_004334351.1																	
OG0024142	XP_004334354.1																	
OG0024143	XP_004334360.1																	
OG0024144	XP_004334367.1																	
OG0024145	XP_004334369.1																	
OG0024146	XP_004334371.1																	
OG0024147	XP_004334379.1																	
OG0024148	XP_004334381.1																	
OG0024149	XP_004334382.1																	
OG0024150	XP_004334387.1																	
OG0024151	XP_004334399.1																	
OG0024152	XP_004334401.1																	
OG0024153	XP_004334406.1																	
OG0024154	XP_004334425.1																	
OG0024155	XP_004334427.1																	
OG0024156	XP_004334428.1																	
OG0024157	XP_004334430.1																	
OG0024158	XP_004334435.1																	
OG0024159	XP_004334438.1																	
OG0024160	XP_004334440.1																	
OG0024161	XP_004334441.1																	
OG0024162	XP_004334443.1																	
OG0024163	XP_004334444.1																	
OG0024164	XP_004334445.1																	
OG0024165	XP_004334447.1																	
OG0024166	XP_004334448.1																	
OG0024167	XP_004334450.1																	
OG0024168	XP_004334451.1																	
OG0024169	XP_004334453.1																	
OG0024170	XP_004334454.1																	
OG0024171	XP_004334455.1																	
OG0024172	XP_004334456.1																	
OG0024173	XP_004334457.1																	
OG0024174	XP_004334458.1																	
OG0024175	XP_004334459.1																	
OG0024176	XP_004334460.1																	
OG0024177	XP_004334461.1																	
OG0024178	XP_004334463.1																	
OG0024179	XP_004334464.1																	
OG0024180	XP_004334465.1																	
OG0024181	XP_004334474.1																	
OG0024182	XP_004334477.1																	
OG0024183	XP_004334483.1																	
OG0024184	XP_004334490.1																	
OG0024185	XP_004334510.1																	
OG0024186	XP_004334511.1																	
OG0024187	XP_004334536.1																	
OG0024188	XP_004334538.1																	
OG0024189	XP_004334541.1																	
OG0024190	XP_004334546.1																	
OG0024191	XP_004334547.1																	
OG0024192	XP_004334554.1																	
OG0024193	XP_004334555.1																	
OG0024194	XP_004334559.1																	
OG0024195	XP_004334560.1																	
OG0024196	XP_004334561.1																	
OG0024197	XP_004334563.1																	
OG0024198	XP_004334565.1																	
OG0024199	XP_004334567.1																	
OG0024200	XP_004334572.1																	
OG0024201	XP_004334576.1																	
OG0024202	XP_004334578.1																	
OG0024203	XP_004334580.1																	
OG0024204	XP_004334582.1																	
OG0024205	XP_004334587.1																	
OG0024206	XP_004334588.1																	
OG0024207	XP_004334589.1																	
OG0024208	XP_004334594.1																	
OG0024209	XP_004334595.1																	
OG0024210	XP_004334596.1																	
OG0024211	XP_004334599.1																	
OG0024212	XP_004334600.1																	
OG0024213	XP_004334605.1																	
OG0024214	XP_004334606.1																	
OG0024215	XP_004334609.1																	
OG0024216	XP_004334613.1																	
OG0024217	XP_004334616.1																	
OG0024218	XP_004334617.1																	
OG0024219	XP_004334621.1																	
OG0024220	XP_004334628.1																	
OG0024221	XP_004334643.1																	
OG0024222	XP_004334645.1																	
OG0024223	XP_004334647.1																	
OG0024224	XP_004334654.1																	
OG0024225	XP_004334661.1																	
OG0024226	XP_004334664.1																	
OG0024227	XP_004334665.1																	
OG0024228	XP_004334668.1																	
OG0024229	XP_004334669.1																	
OG0024230	XP_004334671.1																	
OG0024231	XP_004334678.1																	
OG0024232	XP_004334679.1																	
OG0024233	XP_004334680.1																	
OG0024234	XP_004334681.1																	
OG0024235	XP_004334682.1																	
OG0024236	XP_004334683.1																	
OG0024237	XP_004334684.1																	
OG0024238	XP_004334696.1																	
OG0024239	XP_004334705.1																	
OG0024240	XP_004334706.1																	
OG0024241	XP_004334712.1																	
OG0024242	XP_004334719.1																	
OG0024243	XP_004334722.1																	
OG0024244	XP_004334724.1																	
OG0024245	XP_004334729.1																	
OG0024246	XP_004334731.1																	
OG0024247	XP_004334735.1																	
OG0024248	XP_004334738.1																	
OG0024249	XP_004334739.1																	
OG0024250	XP_004334742.1																	
OG0024251	XP_004334746.1																	
OG0024252	XP_004334749.1																	
OG0024253	XP_004334750.1																	
OG0024254	XP_004334751.1																	
OG0024255	XP_004334756.1																	
OG0024256	XP_004334763.1																	
OG0024257	XP_004334765.1																	
OG0024258	XP_004334768.1																	
OG0024259	XP_004334770.1																	
OG0024260	XP_004334774.1																	
OG0024261	XP_004334782.1																	
OG0024262	XP_004334795.1																	
OG0024263	XP_004334808.1																	
OG0024264	XP_004334809.1																	
OG0024265	XP_004334810.1																	
OG0024266	XP_004334812.1																	
OG0024267	XP_004334814.1																	
OG0024268	XP_004334822.1																	
OG0024269	XP_004334828.1																	
OG0024270	XP_004334829.1																	
OG0024271	XP_004334834.1																	
OG0024272	XP_004334836.1																	
OG0024273	XP_004334855.1																	
OG0024274	XP_004334856.1																	
OG0024275	XP_004334857.1																	
OG0024276	XP_004334861.1																	
OG0024277	XP_004334871.1																	
OG0024278	XP_004334872.1																	
OG0024279	XP_004334875.1																	
OG0024280	XP_004334885.1																	
OG0024281	XP_004334886.1																	
OG0024282	XP_004334887.1																	
OG0024283	XP_004334888.1																	
OG0024284	XP_004334893.1																	
OG0024285	XP_004334900.1																	
OG0024286	XP_004334912.1																	
OG0024287	XP_004334914.1																	
OG0024288	XP_004334918.1																	
OG0024289	XP_004334925.1																	
OG0024290	XP_004334927.1																	
OG0024291	XP_004334928.1																	
OG0024292	XP_004334931.1																	
OG0024293	XP_004334933.1																	
OG0024294	XP_004334944.1																	
OG0024295	XP_004334959.1																	
OG0024296	XP_004334961.1																	
OG0024297	XP_004334963.1																	
OG0024298	XP_004334965.1																	
OG0024299	XP_004334966.1																	
OG0024300	XP_004334967.1																	
OG0024301	XP_004334971.1																	
OG0024302	XP_004334974.1																	
OG0024303	XP_004334979.1																	
OG0024304	XP_004334980.1																	
OG0024305	XP_004334981.1																	
OG0024306	XP_004334987.1																	
OG0024307	XP_004335001.1																	
OG0024308	XP_004335007.1																	
OG0024309	XP_004335009.1																	
OG0024310	XP_004335010.1																	
OG0024311	XP_004335015.1																	
OG0024312	XP_004335019.1																	
OG0024313	XP_004335020.1																	
OG0024314	XP_004335022.1																	
OG0024315	XP_004335024.1																	
OG0024316	XP_004335028.1																	
OG0024317	XP_004335031.1																	
OG0024318	XP_004335034.1																	
OG0024319	XP_004335036.1																	
OG0024320	XP_004335037.1																	
OG0024321	XP_004335038.1																	
OG0024322	XP_004335040.1																	
OG0024323	XP_004335041.1																	
OG0024324	XP_004335042.1																	
OG0024325	XP_004335044.1																	
OG0024326	XP_004335045.1																	
OG0024327	XP_004335050.1																	
OG0024328	XP_004335060.1																	
OG0024329	XP_004335061.1																	
OG0024330	XP_004335063.1																	
OG0024331	XP_004335066.1																	
OG0024332	XP_004335067.1																	
OG0024333	XP_004335069.1																	
OG0024334	XP_004335073.1																	
OG0024335	XP_004335075.1																	
OG0024336	XP_004335076.1																	
OG0024337	XP_004335077.1																	
OG0024338	XP_004335078.1																	
OG0024339	XP_004335080.1																	
OG0024340	XP_004335085.1																	
OG0024341	XP_004335088.1																	
OG0024342	XP_004335092.1																	
OG0024343	XP_004335094.1																	
OG0024344	XP_004335095.1																	
OG0024345	XP_004335099.1																	
OG0024346	XP_004335104.1																	
OG0024347	XP_004335106.1																	
OG0024348	XP_004335107.1																	
OG0024349	XP_004335109.1																	
OG0024350	XP_004335116.1																	
OG0024351	XP_004335125.1																	
OG0024352	XP_004335128.1																	
OG0024353	XP_004335130.1																	
OG0024354	XP_004335131.1																	
OG0024355	XP_004335133.1																	
OG0024356	XP_004335139.1																	
OG0024357	XP_004335141.1																	
OG0024358	XP_004335146.1																	
OG0024359	XP_004335148.1																	
OG0024360	XP_004335149.1																	
OG0024361	XP_004335150.1																	
OG0024362	XP_004335151.1																	
OG0024363	XP_004335153.1																	
OG0024364	XP_004335157.1																	
OG0024365	XP_004335161.1																	
OG0024366	XP_004335162.1																	
OG0024367	XP_004335169.1																	
OG0024368	XP_004335171.1																	
OG0024369	XP_004335173.1																	
OG0024370	XP_004335174.1																	
OG0024371	XP_004335180.1																	
OG0024372	XP_004335181.1																	
OG0024373	XP_004335182.1																	
OG0024374	XP_004335183.1																	
OG0024375	XP_004335185.1																	
OG0024376	XP_004335188.1																	
OG0024377	XP_004335192.1																	
OG0024378	XP_004335197.1																	
OG0024379	XP_004335200.1																	
OG0024380	XP_004335217.1																	
OG0024381	XP_004335228.1																	
OG0024382	XP_004335232.1																	
OG0024383	XP_004335233.1																	
OG0024384	XP_004335239.1																	
OG0024385	XP_004335240.1																	
OG0024386	XP_004335250.1																	
OG0024387	XP_004335254.1																	
OG0024388	XP_004335259.1																	
OG0024389	XP_004335268.1																	
OG0024390	XP_004335270.1																	
OG0024391	XP_004335274.1																	
OG0024392	XP_004335276.1																	
OG0024393	XP_004335277.1																	
OG0024394	XP_004335291.1																	
OG0024395	XP_004335298.1																	
OG0024396	XP_004335301.1																	
OG0024397	XP_004335302.1																	
OG0024398	XP_004335311.1																	
OG0024399	XP_004335316.1																	
OG0024400	XP_004335320.1																	
OG0024401	XP_004335321.1																	
OG0024402	XP_004335330.1																	
OG0024403	XP_004335345.1																	
OG0024404	XP_004335348.1																	
OG0024405	XP_004335369.1																	
OG0024406	XP_004335371.1																	
OG0024407	XP_004335389.1																	
OG0024408	XP_004335401.1																	
OG0024409	XP_004335402.1																	
OG0024410	XP_004335403.1																	
OG0024411	XP_004335404.1																	
OG0024412	XP_004335405.1																	
OG0024413	XP_004335407.1																	
OG0024414	XP_004335408.1																	
OG0024415	XP_004335410.1																	
OG0024416	XP_004335411.1																	
OG0024417	XP_004335413.1																	
OG0024418	XP_004335422.1																	
OG0024419	XP_004335430.1																	
OG0024420	XP_004335435.1																	
OG0024421	XP_004335441.1																	
OG0024422	XP_004335444.1																	
OG0024423	XP_004335462.1																	
OG0024424	XP_004335463.1																	
OG0024425	XP_004335464.1																	
OG0024426	XP_004335467.1																	
OG0024427	XP_004335468.1																	
OG0024428	XP_004335470.1																	
OG0024429	XP_004335473.1																	
OG0024430	XP_004335476.1																	
OG0024431	XP_004335481.1																	
OG0024432	XP_004335482.1																	
OG0024433	XP_004335484.1																	
OG0024434	XP_004335496.1																	
OG0024435	XP_004335500.1																	
OG0024436	XP_004335501.1																	
OG0024437	XP_004335508.1																	
OG0024438	XP_004335515.1																	
OG0024439	XP_004335523.1																	
OG0024440	XP_004335525.1																	
OG0024441	XP_004335528.1																	
OG0024442	XP_004335534.1																	
OG0024443	XP_004335536.1																	
OG0024444	XP_004335539.1																	
OG0024445	XP_004335548.1																	
OG0024446	XP_004335549.1																	
OG0024447	XP_004335553.1																	
OG0024448	XP_004335554.1																	
OG0024449	XP_004335555.1																	
OG0024450	XP_004335559.1																	
OG0024451	XP_004335563.1																	
OG0024452	XP_004335573.1																	
OG0024453	XP_004335578.1																	
OG0024454	XP_004335582.1																	
OG0024455	XP_004335588.1																	
OG0024456	XP_004335589.1																	
OG0024457	XP_004335592.1																	
OG0024458	XP_004335601.1																	
OG0024459	XP_004335602.1																	
OG0024460	XP_004335604.1																	
OG0024461	XP_004335608.1																	
OG0024462	XP_004335610.1																	
OG0024463	XP_004335616.1																	
OG0024464	XP_004335620.1																	
OG0024465	XP_004335631.1																	
OG0024466	XP_004335636.1																	
OG0024467	XP_004335640.1																	
OG0024468	XP_004335645.1																	
OG0024469	XP_004335649.1																	
OG0024470	XP_004335653.1																	
OG0024471	XP_004335655.1																	
OG0024472	XP_004335657.1																	
OG0024473	XP_004335660.1																	
OG0024474	XP_004335665.1																	
OG0024475	XP_004335667.1																	
OG0024476	XP_004335668.1																	
OG0024477	XP_004335669.1																	
OG0024478	XP_004335671.1																	
OG0024479	XP_004335672.1																	
OG0024480	XP_004335675.1																	
OG0024481	XP_004335676.1																	
OG0024482	XP_004335682.1																	
OG0024483	XP_004335694.1																	
OG0024484	XP_004335697.1																	
OG0024485	XP_004335699.1																	
OG0024486	XP_004335704.1																	
OG0024487	XP_004335730.1																	
OG0024488	XP_004335731.1																	
OG0024489	XP_004335733.1																	
OG0024490	XP_004335740.1																	
OG0024491	XP_004335752.1																	
OG0024492	XP_004335757.1																	
OG0024493	XP_004335759.1																	
OG0024494	XP_004335763.1																	
OG0024495	XP_004335766.1																	
OG0024496	XP_004335767.1																	
OG0024497	XP_004335771.1																	
OG0024498	XP_004335774.1																	
OG0024499	XP_004335776.1																	
OG0024500	XP_004335783.1																	
OG0024501	XP_004335784.1																	
OG0024502	XP_004335789.1																	
OG0024503	XP_004335791.1																	
OG0024504	XP_004335795.1																	
OG0024505	XP_004335798.1																	
OG0024506	XP_004335800.1																	
OG0024507	XP_004335805.1																	
OG0024508	XP_004335807.1																	
OG0024509	XP_004335812.1																	
OG0024510	XP_004335813.1																	
OG0024511	XP_004335815.1																	
OG0024512	XP_004335824.1																	
OG0024513	XP_004335825.1																	
OG0024514	XP_004335826.1																	
OG0024515	XP_004335831.1																	
OG0024516	XP_004335833.1																	
OG0024517	XP_004335835.1																	
OG0024518	XP_004335843.1																	
OG0024519	XP_004335850.1																	
OG0024520	XP_004335851.1																	
OG0024521	XP_004335854.1																	
OG0024522	XP_004335855.1																	
OG0024523	XP_004335856.1																	
OG0024524	XP_004335861.1																	
OG0024525	XP_004335863.1																	
OG0024526	XP_004335865.1																	
OG0024527	XP_004335872.1																	
OG0024528	XP_004335875.1																	
OG0024529	XP_004335880.1																	
OG0024530	XP_004335881.1																	
OG0024531	XP_004335885.1																	
OG0024532	XP_004335892.1																	
OG0024533	XP_004335893.1																	
OG0024534	XP_004335898.1																	
OG0024535	XP_004335907.1																	
OG0024536	XP_004335909.1																	
OG0024537	XP_004335917.1																	
OG0024538	XP_004335920.1																	
OG0024539	XP_004335922.1																	
OG0024540	XP_004335929.1																	
OG0024541	XP_004335932.1																	
OG0024542	XP_004335933.1																	
OG0024543	XP_004335941.1																	
OG0024544	XP_004335943.1																	
OG0024545	XP_004335953.1																	
OG0024546	XP_004335967.1																	
OG0024547	XP_004335970.1																	
OG0024548	XP_004335973.1																	
OG0024549	XP_004335976.1																	
OG0024550	XP_004335979.1																	
OG0024551	XP_004335981.1																	
OG0024552	XP_004335985.1																	
OG0024553	XP_004335989.1																	
OG0024554	XP_004335992.1																	
OG0024555	XP_004335993.1																	
OG0024556	XP_004336001.1																	
OG0024557	XP_004336007.1																	
OG0024558	XP_004336008.1																	
OG0024559	XP_004336012.1																	
OG0024560	XP_004336013.1																	
OG0024561	XP_004336020.1																	
OG0024562	XP_004336025.1																	
OG0024563	XP_004336032.1																	
OG0024564	XP_004336033.1																	
OG0024565	XP_004336035.1																	
OG0024566	XP_004336037.1																	
OG0024567	XP_004336039.1																	
OG0024568	XP_004336040.1																	
OG0024569	XP_004336050.1																	
OG0024570	XP_004336051.1																	
OG0024571	XP_004336054.1																	
OG0024572	XP_004336055.1																	
OG0024573	XP_004336059.1																	
OG0024574	XP_004336062.1																	
OG0024575	XP_004336063.1																	
OG0024576	XP_004336074.1																	
OG0024577	XP_004336076.1																	
OG0024578	XP_004336079.1																	
OG0024579	XP_004336087.1																	
OG0024580	XP_004336088.1																	
OG0024581	XP_004336090.1																	
OG0024582	XP_004336091.1																	
OG0024583	XP_004336092.1																	
OG0024584	XP_004336094.1																	
OG0024585	XP_004336095.1																	
OG0024586	XP_004336096.1																	
OG0024587	XP_004336097.1																	
OG0024588	XP_004336100.1																	
OG0024589	XP_004336101.1																	
OG0024590	XP_004336102.1																	
OG0024591	XP_004336103.1																	
OG0024592	XP_004336104.1																	
OG0024593	XP_004336116.1																	
OG0024594	XP_004336117.1																	
